song,artist,hip_hop_rnb
1 Thing,Amerie,1
21 Questions,50 Cent featuring Nate Dogg,1
7/11,Beyoncé,1
911 Is a Joke,Public Enemy,1
A Milli,Lil Wayne,1
A Song for Mama,Boyz II Men,1
Addicted to You,LeVert,1
Addictive Love,BeBe & CeCe Winans,1
Adorn,Miguel,1
Ain't Nobody Like You,Miki Howard,1
Ain't Nuthin' in the World,Miki Howard,1
Air Force Ones,"Nelly featuring Kyjuan, Ali and Murphy Lee",1
All Around the World,Lisa Stansfield,1
All Eyes On You,Meek Mill featuring Chris Brown and Nicki Minaj,1
All for You,Janet,1
All I Do Is Think of You,Troop,1
All My Life,K-Ci & JoJo,1
All of Me,John Legend,1
All of My Love,The Gap Band,1
All the Man That I Need,Whitney Houston,1
All Woman,Lisa Stansfield,1
Alone with You,Tevin Campbell,1
Always Be My Baby,Mariah Carey,1
Always on Time,Ja Rule featuring Ashanti,1
AmeriKKKa's Most Wanted,Ice Cube,1
Anaconda,Nicki Minaj,1
Another Part of Me,Michael Jackson,1
Any Love,Luther Vandross,1
"Any Time, Any Place",Janet Jackson,1
Are You Lonely for Me,The Rude Boys,1
Around the Way Girl,LL Cool J,1
Aston Martin Music,Rick Ross,1
B.B.D. (I Thought It Was Me)?,Bell Biv DeVoe,1
Baby,Brandy,1
Baby-Baby-Baby,TLC,1
Baby Boy,Beyoncé featuring Sean Paul,1
Baby Come to Me,Regina Belle,1
Baby Hold On To Me,Gerald Levert with Eddie Levert,1
Baby I'm Ready,LeVert,1
Baby If You're Ready,Doggy's Angels,1
Baby If You're Ready,Doggy's Angels featuring LaToiya,1
Back & Forth,Aaliyah,1
Back to Life (However Do You Want Me),Soul II Soul,1
Back to Life (However Do You Want Me),Soul II Soul featuring Caron Wheeler,1
Bad,Wale featuring Tiara Thomas,1
Bad and Boujee,Migos,1
Bag Lady,Erykah Badu,1
Ballin' Boy,No Good,1
Banned in the U.S.A.,Luke,1
Batdance,Prince,1
Be Without You,Mary J. Blige,1
Bed,J. Holiday,1
BedRock,Young Money,1
Before You Walk out of My Life / Like This and Like That,Monica,1
Believe Me,Lil Wayne featuring Drake,1
Berzerk,Eminem,1
Best I Ever Had,Drake,1
"Bills, Bills, Bills",Destiny's Child,1
Birthday Sex,Jeremih,1
Bitch Better Have My Money,Rihanna,1
Black and Yellow,Wiz Khalifa,1
Black Beatles,Rae Sremmurd,1
Black Widow,Iggy Azalea,1
Blame It,Jamie Foxx featuring T-Pain,1
Blurred Lines,Robin Thicke featuring T.I. & Pharrell,1
Bodak Yellow (Money Moves),Cardi B,1
Boom Boom Pow,The Black Eyed Peas,1
Boombastic / In the Summertime,Shaggy,1
Bounce with Me,Lil' Bow Wow,1
Bounce with Me,Lil' Bow Wow featuring Xscape,1
Bounce with Me,Lil Bow Wow featuring Xscape,1
Bow Wow (That's My Name),Lil' Bow Wow,1
Broccoli,DRAM,1
Bump n' Grind,R. Kelly,1
Burn,Usher,1
Buy U a Drank (Shawty Snappin'),T-Pain featuring Yung Joc,1
Call Me,Phil Perry,1
Call Me D-Nice,D-Nice,1
Call on Me,Janet with Nelly,1
Callin' Me,Lil Zane,1
Callin' Me,Lil Zane featuring 112,1
Can't Be Friends,Trey Songz,1
Can't Feel My Face,The Weeknd,1
Can't Get Over You,Maze,1
Can't Get Over You,Maze featuring Frankie Beverly,1
Can't Hold Us,Macklemore,1
Can't Hold Us,Macklemore & Ryan Lewis featuring Ray Dalton,1
Can't Nobody Hold Me Down,Puff Daddy featuring Mase,1
Can't Stop,After 7,1
Can We Talk,Tevin Campbell,1
Can You Stand the Rain,New Edition,1
Can You Stop the Rain,Peabo Bryson,1
Candy Rain,Soul for Real,1
Candy Shop,50 Cent featuring Olivia,1
Cashin' Out,Cash Out,1
Cha Cha Cha,MC Lyte,1
Check Yo Self,Ice Cube featuring Das EFX,1
Climax,Usher,1
Closer Than Friends,Surface,1
Come and Talk to Me,Jodeci,1
Confessions Part II,Usher,1
Country Grammar (Hot Shit),Nelly,1
Crank That (Soulja Boy),Soulja Boy,1
Crazy,The Boys,1
Crazy in Love,Beyoncé featuring Jay-Z,1
Creep,TLC,1
Cry for You,Jodeci,1
Da Butt,E.U.,1
Daddy's Little Girl,Nikki D,1
Damn!,YoungBloodz featuring Lil Jon,1
Danger (Been So Long),Mystikal featuring Nivea,1
Dansin wit Wolvez,Strik 9ine,1
Dead and Gone,T.I. featuring Justin Timberlake,1
Déjà Vu,Beyoncé featuring Jay Z,1
Deuces,Chris Brown featuring Tyga & Kevin McCall,1
Dial My Heart,The Boys,1
Diamonds,Rihanna,1
Diamonds and Pearls,Prince and the New Power Generation,1
Differences,Ginuwine,1
Dilemma,Nelly featuring Kelly Rowland,1
Do It to Me,Lionel Richie,1
Do Me Again,Freddie Jackson,1
Don't Be Afraid,Aaron Hall,1
Don't Be Cruel,Bobby Brown,1
Don't Forget About Us,Mariah Carey,1
Don't Let Go (Love),En Vogue,1
Don't Mind,Kent Jones,1
Don't Take It Personal,Jermaine Jackson,1
Don't Take It Personal (Just One of Dem Days),Monica,1
Don't Tell 'Em,Jeremih featuring YG,1
Don't Wanna Change the World,Phyllis Hyman,1
Down Low (Nobody Has to Know),R. Kelly featuring Ronald Isley,1
Drank in My Cup,Kirko Bangz,1
Dreamin',Vanessa Williams,1
Drop It Like It's Hot,Snoop Dogg featuring Pharrell,1
Drunk in Love,Beyoncé featuring Jay-Z,1
Earned It,The Weeknd,1
Emotions,Mariah Carey,1
Empire State of Mind,Jay-Z,1
Empire State of Mind,Jay-Z featuring Alicia Keys,1
End of the Road,Boyz II Men,1
Escapade,Janet Jackson,1
Every Little Step,Bobby Brown,1
Everything I Miss at Home,Cherrelle,1
Everything to Me,Monica,1
Exclusivity,Damian Dame,1
Excuse Me Miss,Jay-Z,1
Exhale (Shoop Shoop),Whitney Houston,1
Expression,Salt-n-Pepa,1
Fall for Your Type,Jamie Foxx featuring Drake,1
Fallin',Alicia Keys,1
Family Affair,Mary J. Blige,1
Fancy,Drake,1
Fancy,Iggy Azalea ,1
Fantasy,Mariah Carey,1
Feels Good,Tony! Toni! Toné!,1
Feels Good (Don't Worry Bout a Thing),Naughty by Nature featuring 3LW,1
Fiesta,R. Kelly featuring Jay-Z,1
Fight the Power,Public Enemy,1
Fishnet,Morris Day,1
Flamboyant,Big L,1
Foolish,Ashanti,1
Forever,"Drake featuring Kanye West, Lil Wayne and Eminem",1
Forever My Lady,Jodeci,1
Fortunate,Maxwell,1
FourFiveSeconds,Rihanna featuring Kanye West & Paul McCartney,1
Freak Me,Silk,1
Friend of Mine,Kelly Price,1
Frontin',Pharrell featuring Jay-Z,1
Fuckin' Problems,"ASAP Rocky featuring Drake, 2 Chainz & Kendrick Lamar",1
Funhouse,Kid 'n Play,1
G.H.E.T.T.O.U.T.,Changing Faces,1
Games,Chuckii Booker,1
Gangnam Style,Psy,1
Gangsta Lean,DRS,1
Get Busy,Sean Paul,1
Get It on Tonite,Montell Jordan,1
Get Low,Lil Jon & the East Side Boyz featuring Ying Yang Twins,1
"Get Outta My Dreams, Get into My Car",Billy Ocean,1
Girl I Got My Eyes On You,Today,1
Girlfriend,Pebbles,1
Giving Him Something He Can Feel,En Vogue,1
Giving You the Benefit,Pebbles,1
Giving You the Best That I Got,Anita  Baker,1
God's Plan,Drake,1
Gold Digger,EPMD,1
Gold Digger,Kanye West featuring Jamie Foxx,1
Gonna Make You Sweat (Everybody Dance Now),C&C Music Factory featuring Freedom Williams,1
Good Kisser,Usher,1
Good Life,Kanye West featuring T-Pain,1
Goodies,Ciara featuring Petey Pablo,1
Grillz,"Nelly featuring Paul Wall, Ali and Gipp",1
Happy,Pharrell Williams,1
Hate It or Love It,The Game featuring 50 Cent,1
Have You Had Your Love Today,The O'Jays,1
He Wasn't Man Enough,Toni Braxton,1
Headlines,Drake,1
Heartbreak Hotel,Whitney Houston featuring Faith Evans and Kelly Price,1
Heartbreaker,Mariah Carey featuring Jay-Z,1
Heartless,Kanye West,1
Heaven Sent,Keyshia Cole,1
Here and Now,Luther Vandross,1
Here I Go Again,Glenn Jones,1
Hey Lover,Freddie Jackson,1
Highest in the Room,Travis Scott,1
Hip Hop Hooray,Naughty By Nature,1
Hit Me Off,New Edition,1
Hold On,En Vogue,1
"Hold On, We're Going Home",Drake featuring Majid Jordan,1
Hold You Down,"DJ Khaled featuring Chris Brown, August Alsina, Future & Jeremih",1
Holy Grail,Jay-Z,1
Holy Grail,Jay-Z featuring Justin Timberlake,1
Home,Stephanie Mills,1
Homey Don't Play Dat,Terminator X,1
Honey Love,R. Kelly and Public Announcement,1
Hot Boy,Bobby Shmurda,1
Hot Boyz,Missy Elliott ,1
Hot Boyz,"Missy Elliott featuring Nas, Eve and Q-Tip",1
Hot Boyz,"Missy Misdemeanor Elliott featuring Nas, Eve and Q-Tip",1
Hot in Here,Nelly,1
Hot in Herre,Nelly,1
Hotline Bling,Drake,1
How Can I Ease the Pain,Lisa Fischer,1
How Deep Is Your Love,Dru Hill featuring Redman,1
How Do U Want It / California Love,2Pac featuring K-Ci & JoJo / featuring Dr. Dre and Roger Troutman,1
Humble,Kendrick Lamar,1
Humpin' Around,Bobby Brown,1
Hypnotize,The Notorious B.I.G.,1
I'll Be Good to You,Quincy Jones featuring Ray Charles and Chaka Khan,1
I'll Be Missing You,Puff Daddy featuring Faith Evans and 112,1
I'll Be There For You / You're All I Need to Get By,Method Man featuring Mary J. Blige,1
I'll Do 4 U,Father MC,1
I'll Give All My Love to You,Keith Sweat,1
I'll Make Love to You,Boyz II Men,1
I'll Take You There,BeBe & CeCe Winans,1
I'm a Flirt,R. Kelly featuring T.I. and T-Pain or Bow Wow featuring R. Kelly[a],1
I'm Dreamin',Christopher Williams,1
I'm on One,DJ Khaled,1
I'm On One,"DJ Khaled featuring Drake, Rick Ross & Lil Wayne",1
I'm That Type of Guy,LL Cool J,1
I'm the One,DJ Khaled,1
I'm Your Baby Tonight,Whitney Houston,1
I Adore Mi Amore,Color Me Badd,1
I Believe I Can Fly,R. Kelly,1
I Can't Sleep Baby (If I),R. Kelly,1
I Can't Wait Another Minute,Hi-Five,1
I Cry,Flo Rida,1
I Don't Fuck with You,Big Sean,1
I Don't Mind,Usher featuring Juicy J,1
I Get Lonely,Janet and Blackstreet,1
I Got to Have It,Ed O.G.,1
I Invented Sex,Trey Songz featuring Drake,1
I Just Wanna Luv U (Give It 2 Me),Jay-Z,1
I Like It,Cardi B,1
I Like the Way (The Kissing Game),Hi-Five,1
I Love Your Smile,Shanice,1
I Need a Girl (Part One),P. Diddy featuring Usher and Loon,1
I Remember,Keyshia Cole,1
I Think They Like Me,"Dem Franchize Boyz featuring Jermaine Dupri, Da Brat and Bow Wow",1
I Wanna Be Down,Brandy,1
I Wanna Sex You Up,Color Me Badd,1
I Want Her,Keith Sweat,1
I Will Always Love You,Whitney Houston,1
I Wish,Carl Thomas,1
I Wish,R. Kelly,1
Ice Ice Baby,Vanilla Ice,1
If I Ain't Got You,Alicia Keys,1
If I Ever Fall in Love,Shai,1
If Your Girl Only Knew,Aaliyah,1
In da Club,50 Cent,1
In My Bed,Dru Hill,1
In My Feelings,Drake,1
In the Closet,Michael Jackson,1
Incomplete,Sisqó,1
Independent,Webbie featuring Lil Phat and Lil Boosie,1
Independent Women Part I,Destiny's Child,1
Irreplaceable,Beyoncé,1
iSpy,Kyle,1
It's a Shame (My Sister),Monie Love,1
It's Funky Enough,The D.O.C.,1
It's Goin' Down,Yung Joc,1
It's Gonna Be Alright,Ruby Turner,1
It's No Crime,Babyface,1
It's OK,Slimm Calhoun,1
It's OK,Slimm Calhoun featuring André 3000,1
It's Over Now,112,1
It's So Hard to Say Goodbye to Yesterday,Boyz II Men,1
It Kills Me,Melanie Fiona,1
It Never Rains (In Southern California),Tony! Toni! Toné!,1
It Should've Been You,Teddy Pendergrass,1
It Wasn't Me,Shaggy,1
It Wasn't Me,Shaggy featuring Ricardo Rikrok Ducent,1
Jerk Out,The Time,1
Joy,Teddy Pendergrass,1
Just a Lil Bit,50 Cent,1
Just Because,Anita Baker,1
Just Coolin',LeVert,1
Just Coolin',LeVert featuring Heavy D,1
Just Got Paid,Johnny Kemp,1
Just Kickin' It,Xscape,1
Keep It Comin',Keith Sweat,1
Keep On Movin',Soul II Soul,1
Kiss Me Thru the Phone,Soulja Boy featuring Sammie,1
Kissing You,Keith Washington,1
Knock You Down,Keri Hilson featuring Kanye West and Ne-Yo,1
Knockin' Boots,Candyman,1
Knockin' Da Boots,H-Town,1
Last Night,Az Yet,1
Lately,Jodeci,1
Lean Back,Terror Squad,1
"Lean wit It, Rock wit It",Dem Franchize Boyz featuring Lil Peanut and Charlay,1
Let's Get Married,Jagged Edge,1
Let's Ride,Montell Jordan featuring Master P and Silkk the Shocker,1
Let It Go,Keyshia Cole featuring Missy Elliott and Lil' Kim,1
Let Me Hold You,Bow Wow featuring Omarion,1
Let Me Love You,Mario,1
Let the Beat Hit 'Em,Lisa Lisa and Cult Jam,1
Liar,Profyle,1
Lies,En Vogue,1
"Lights, Camera, Action!",Mr. Cheeks,1
Like You,Bow Wow featuring Ciara,1
Like You'll Never See Me Again[3],Alicia Keys,1
Little Walter,Tony! Toni! Toné!,1
Live Your Life,T.I. featuring Rihanna,1
Lollipop,Lil Wayne featuring Static Major,1
Look at Me Now,Chris Brown ,1
Look at Me Now,Chris Brown featuring Lil Wayne & Busta Rhymes,1
Looking at the Front Door,Main Source,1
Loosey's Rap,Rick James,1
Lost Without U,Robin Thicke,1
Lotus Flower Bomb,Wale featuring Miguel,1
Love in This Club,Usher featuring Young Jeezy,1
Love Makes Things Happen,Pebbles and Babyface,1
Love Me Down,Freddie Jackson,1
Love of My Life (An Ode to Hip-Hop),Erykah Badu featuring Common,1
Love on Top,Beyoncé,1
Love Overboard,Gladys Knight & the Pips,1
Love Saw It,Karyn White,1
Love Takes Time,Mariah Carey,1
Love the Way You Lie,Eminem,1
Loverboy,Mariah Carey featuring Cameo,1
Lovers and Friends,Lil Jon & the East Side Boyz featuring Usher and Ludacris,1
Low,Flo Rida featuring T-Pain,1
Loyal,Chris Brown featuring Lil Wayne and Tyga,1
Lucid Dreams,Juice Wrld,1
Lucky Charm,The Boys,1
Luv U Better,LL Cool J,1
Magic Stick,Lil' Kim featuring 50 Cent,1
Make It Like It Was,Regina Belle,1
Make Me Better,Fabolous featuring Ne-Yo,1
Make Me Proud,Drake,1
Make Me Proud,Drake featuring Nicki Minaj,1
Mama Said Knock You Out,LL Cool J,1
Man in the Mirror,Michael Jackson,1
Maria Maria,Santana featuring The Product G&B,1
Marvin & Chardonnay,Big Sean featuring Kanye West & Roscoe Dash,1
Me & U,Cassie,1
Me Myself and I,De La Soul,1
Me So Horny,2 Live Crew,1
"Me, Myself & I",G-Eazy,1
Mercedes Boy,Pebbles,1
Mercy,Kanye West,1
Mercy,"Kanye West featuring Big Sean, Pusha T, & 2 Chainz",1
Miss Independent,Ne-Yo,1
Miss You,Aaliyah,1
Miss You Like Crazy,Natalie Cole,1
Miss You Much,Janet Jackson,1
Missing You,Case,1
Misunderstanding,Al B. Sure!,1
Moment 4 Life,Nicki Minaj,1
Moment 4 Life,Nicki Minaj featuring Drake,1
Mona Lisa,Lil Wayne,1
Money Maker,Ludacris featuring Pharrell,1
Monie in the Middle,Monie Love,1
Motivation,Kelly Rowland featuring Lil Wayne,1
Move Somethin',Talib Kweli,1
Move Somethin',Talib Kweli and Hi-Tek (Reflection Eternal),1
Ms. Jackson,Outkast,1
Ms. Jackson,OutKast,1
Murder Rap,Above the Law,1
My Baby,Lil' Romeo,1
My Body,LSG,1
My Boo,Usher and Alicia Keys,1
My Fantasy,Teddy Riley,1
My Fantasy,Teddy Riley featuring Guy,1
My First Love,Atlantic Starr,1
My Last,Big Sean,1
My Lovin' (You're Never Gonna Get It),En Vogue,1
My Prerogative,Bobby Brown,1
My Projects,Coo Coo Cal,1
My Way,Fetty Wap featuring Monty,1
"My, My, My",Johnny Gill,1
Need U Bad,Jazmine Sullivan,1
Never Gonna Let You Go,Faith Evans,1
Never Make a Promise,Dru Hill,1
New Flame,Chris Brown featuring Usher & Rick Ross,1
New Jack Swing,Wrecks-n-Effect,1
Nice 'N' Slow,Freddie Jackson,1
Nice and Slow,Usher,1
Nice for What,Drake,1
Niggas in Paris,Jay-Z,1
Niggas in Paris,Jay-Z and Kanye West,1
Nite and Day,Al B. Sure!,1
No Diggity,Blackstreet featuring Dr. Dre,1
No Hands,Waka Flocka Flame,1
No Lie,2 Chainz,1
No Lie,2 Chainz featuring Drake,1
No More,Ruff Endz,1
No One,Alicia Keys,1
No Scrubs,TLC,1
"No, No, No",Destiny's Child,1
Nobody,Keith Sweat featuring Athena Cage,1
Nobody's Supposed to Be Here,Deborah Cox,1
Not Gon' Cry,Mary J. Blige,1
Nothin' on You,B.o.B ,1
Nuthin' But a 'G' Thang,Dr. Dre,1
Oasis,Roberta Flack,1
Off on Your Own (Girl),Al B. Sure!,1
Oh Boy,Cam'ron featuring Juelz Santana,1
Oh Boy / The ROC (Just Fire),"Cam'ron featuring Juelz Santana /
Cam'ron featuring Beanie Sigel and Memphis Bleek",1
Oh No,Mos Def,1
Oh No,Mos Def and Pharoahe Monch featuring Nate Dogg,1
Old Town Road,Lil Nas X ,1
On & On,Erykah Badu,1
On Our Own,Bobby Brown,1
One Call Away,Chingy featuring J-Weav,1
One More Chance / Stay with Me,The Notorious B.I.G.,1
One More Try,George Michael,1
Only,Nicki Minaj,1
Only,"Nicki Minaj featuring Drake, Lil Wayne & Chris Brown",1
Ooo La La La,Teena Marie,1
Oops (Oh My),Tweet featuring Missy Elliott,1
Over,Drake,1
Overnight Celebrity,Twista,1
P.I.M.P.,50 Cent,1
Panda,Desiigner,1
Papers,Usher,1
Paradise,Sade,1
Party Like a Rockstar,Shop Boyz,1
Planes,Jeremih featuring J. Cole,1
Please Me,Cardi B,1
Poison,Bell Biv DeVoe,1
Pony,Ginuwine,1
Pop Goes the Weasel,3rd Bass,1
Pour It Up,Rihanna,1
Power of Love/Love Power,Luther Vandross,1
Power Trip,J. Cole featuring Miguel,1
Practice What You Preach,Barry White,1
Pretty Wings,Maxwell,1
Private Line,Gerald Levert,1
Promise,Ciara,1
Promise,Jagged Edge,1
Psycho,Post Malone,1
Pullin' Me Back,Chingy featuring Tyrese,1
Purple Pills,D12,1
Put On,Young Jeezy featuring Kanye West,1
Raise Up,Petey Pablo,1
Rap God,Eminem,1
Ready or Not,After 7,1
Real Love,Jody Watley,1
Real Love,Mary J. Blige,1
Real Love,Skyy,1
Remember (The First Time),Eric Gable,1
Remember the Time,Michael Jackson,1
Rhythm Nation,Janet Jackson,1
Right Above It,Lil Wayne,1
Right Here/Human Nature,SWV,1
Right Now,Al B. Sure!,1
Right Thurr,Chingy,1
Rise 'n' Shine,Kool Moe Dee,1
Rockstar,Post Malone,1
Romantic,Karyn White,1
Roses Are Red,The Mac Band,1
Round and Round,Jonell featuring Method Man,1
Roxanne,Arizona Zervas,1
Rub You the Right Way,Johnny Gill,1
Run It!,Chris Brown,1
Run This Town,Jay-Z featuring Rihanna and Kanye West,1
Runaway Love,Ludacris featuring Mary J. Blige,1
Running Back to You,Vanessa Williams,1
Sad!,XXXTentacion,1
Satisfy You,Puff Daddy featuring R. Kelly,1
Save the Best For Last,Vanessa Williams,1
Say Goodbye,Chris Brown,1
Say My Name,Destiny's Child,1
Say Something,Timbaland,1
Say Something,Timbaland featuring Drake,1
See You Again,Wiz Khalifa ,1
See You Again,Wiz Khalifa featuring Charlie Puth,1
Self-Destruction,Stop the Violence Movement,1
Sensitivity,Ralph Tresvant,1
Separated,Avant,1
Sex Therapy,Robin Thicke,1
Shake Ya Tailfeather,"Nelly, P. Diddy and Murphy Lee",1
Shawty,Plies featuring T-Pain,1
She's On the Left,Jeffrey Osborne,1
She Will,Lil Wayne featuring Drake,1
Shortie Like Mine,Bow Wow featuring Chris Brown and Johntá Austin,1
Shoulder Lean,Young Dro featuring T.I.,1
Show and Tell,Peabo Bryson,1
Shower Me With Your Love,Surface,1
Sicko Mode,Travis Scott,1
Single Ladies (Put a Ring on It),Beyoncé,1
Slow Dance (Hey Mr. DJ),R. Kelly and Public Announcement,1
Slow Down,Bobby Valentino,1
Slow Jamz,Twista featuring Kanye West and Jamie Foxx,1
Slow Motion,Juvenile featuring Soulja Slim,1
Smooth Operator,Big Daddy Kane,1
Snap Yo Fingers,Lil Jon featuring E-40 and Sean Paul of the YoungbloodZ,1
So Gone,Monica,1
So You Like What You See,Samuelle,1
Somebody for Me,Heavy D & the Boyz,1
Something in the Way (You Make Me Feel),Stephanie Mills,1
Soul Survivor,Young Jeezy featuring Akon,1
Souljas,Master P,1
Spend My Life with You,Eric Benet featuring Tamia,1
Spotlight,Jennifer Hudson,1
Spread My Wings,Troop,1
Stand Up,Ludacris featuring Shawnna,1
Start of a Romance,Skyy,1
Started from the Bottom,Drake,1
Stay,Jodeci,1
Step in the Name of Love,R. Kelly,1
Studio,Schoolboy Q featuring BJ the Chicago Kid,1
Stutter,Joe featuring Mystikal,1
Sucker for Pain,Lil Wayne,1
Suit & Tie,Justin Timberlake featuring Jay-Z,1
Summer Sixteen,Drake,1
Summertime,DJ Jazzy Jeff & The Fresh Prince,1
Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,1
Superwoman,Karyn White,1
Sure Thing,Miguel,1
Sweet November,Troop,1
Take a Bow,Rihanna,1
Talk Dirty,Jason Derulo featuring 2 Chainz,1
Tell Me What You Want Me to Do,Tevin Campbell,1
Tender Kisses,Tracie Spencer,1
Tender Lover,Babyface,1
Tennessee,Arrested Development,1
Tha Crossroads,Bone Thugs N Harmony,1
Thank God I Found You,Mariah Carey featuring Joe,1
Thanks for My Child,Cheryl Pepsii Riley,1
That's the Way Love Goes,Janet Jackson,1
The Best Things in Life Are Free,Luther Vandross and Janet Jackson,1
The Blues,Tony! Toni! Toné!,1
The Boomin' System,LL Cool J,1
The Boy Is Mine,Brandy and Monica,1
The Chubbster,Chubb Rock,1
The D.O.C. & The Doctor,The D.O.C.,1
The First Night,Monica,1
The First Time,Surface,1
The Hills,The Weeknd,1
The Humpty Dance,Digital Underground,1
The Monster,Eminem,1
The Monster,Eminem featuring Rihanna,1
The Motto,Drake ,1
The Motto,Drake featuring Lil Wayne,1
The Power,Snap!,1
The Secret Garden (Sweet Seduction Suite),"Quincy Jones with Al B. Sure!, James Ingram, El DeBarge and Barry White",1
The Way You Love Me,Karyn White,1
The Way You Make Me Feel,Michael Jackson,1
The Way You Move,Outkast featuring Sleepy Brown,1
The Worst,Jhené Aiko,1
There Goes My Baby,Usher,1
Thieves in the Temple,Prince,1
This Is America,Childish Gambino,1
This Is How We Do It,Montell Jordan,1
This Is Why I'm Hot,Mims,1
Thrift Shop,Macklemore & Ryan Lewis featuring Wanz,1
Thrift Shop,Macklemore and Ryan Lewis ,1
Throw Sum Mo,Rae Sremmurd featuring Nicki Minaj and Young Thug,1
Timber,Pitbull,1
Time of Our Lives,Pitbull,1
Tipsy,J-Kwon,1
"Tomorrow (A Better You, A Better Me)",Quincy Jones featuring Tevin Campbell,1
Too Close,Next,1
Too Good,Drake,1
Trap Queen,Fetty Wap,1
Treat 'Em Right,Chubb Rock,1
Treat Them Like They Want to Be Treated,Father MC,1
Truffle Butter,Nicki Minaj featuring Drake and Lil Wayne,1
Truth Hurts,Lizzo,1
Tuesday,ILoveMakonnen featuring Drake,1
Tumblin' Down,Ziggy Marley and the Melody Makers,1
Turned Away,Chuckii Booker,1
Twisted,Keith Sweat,1
U Can't Touch This,MC Hammer,1
U Got It Bad,Usher,1
U Know What's Up,Donell Jones featuring Lisa Left Eye Lopes,1
U Remind Me,Usher,1
Uhh Ahh,Boyz II Men,1
Un-Thinkable (I'm Ready),Alicia Keys,1
Understanding,Xscape,1
Unforgettable,French Montana,1
Untouchable,Above the Law,1
Vision of Love,Mariah Carey,1
Watch Me (Whip/Nae Nae),Silentó,1
We're All in the Same Gang,The West Coast Rap All-Stars,1
We Belong Together,Mariah Carey,1
We Can't Be Friends,Deborah Cox featuring R.L.,1
We Fly High,Jim Jones,1
Weak,SWV,1
What's It Gonna Be?!,Busta Rhymes featuring Janet,1
What Would You Do?,City High,1
What You Know,T.I.,1
Whatever You Like,T.I.,1
Whatever You Want,Tony! Toni! Toné!,1
When I See U,Fantasia,1
Where Do We Go from Here,Stacy Lattisaw with Johnny Gill,1
Where the Party At,Jagged Edge with Nelly,1
Whistle While You Twurk,Ying Yang Twins,1
Who Can I Run To,Xscape,1
Whoomp! (There It Is),Tag Team,1
Wifey,Next,1
Wiggle,Jason Derulo featuring Snoop Dogg,1
Wishing Well,Terence Trent D'Arby,1
Wobble Wobble,504 Boyz,1
Work It,Missy Elliott,1
Work It,Missy Misdemeanor Elliott,1
Wow,Post Malone,1
Wrap My Body Tight,Johnny Gill,1
Written All Over Your Face,The Rude Boys,1
Yeah!,Usher featuring Lil Jon and Ludacris,1
You,Lloyd featuring Lil Wayne,1
You're Makin' Me High / Let It Flow,Toni Braxton,1
You're the One,SWV,1
You Are My Everything,Surface,1
You Are Not Alone,Michael Jackson,1
You Can't Deny It,Lisa Stansfield,1
You Can't Play with My Yo-Yo,Yo-Yo,1
You Don't Have to Worry,En Vogue,1
You Don't Know My Name,Alicia Keys,1
You Make Me Wanna...,Usher,1
You Remind Me,Mary J. Blige,1
You Remind Me of Something,R. Kelly,1
You Will Know,Stevie Wonder,1
Your Love,Nicki Minaj,1
Zeze,Kodak Black,1
